id,category,url,source_site,license,author,attribution_text,notes_on_confounds
man_chain1,man_chain,https://upload.wikimedia.org/wikipedia/commons/3/3f/Actor_Kevin_Marc.jpg,Wikimedia Commons,CC BY-SA 3.0,Newsact11,"Photo by Newsact11 via Wikimedia Commons (CC BY-SA 3.0)","Heavy chain necklace and pendant; slight hip-hop style confound (nose ring)."
man_chain2,man_chain,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Casanova_(August_2016).jpg/1280px-Casanova_(August_2016).jpg,Wikimedia Commons,CC BY-SA 4.0,Joseph Ades,"Photo by Joseph Ades via Wikimedia Commons (CC BY-SA 4.0)","Man wearing heavy chain necklace; rap aesthetic may signal aggressive vibe."
man_chain3,man_chain,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Barnes_in_Accra_(2021).jpg/960px-Barnes_in_Accra_(2021).jpg,Wikimedia Commons,CC BY-SA 4.0,Ernest Ankomah Frimpong,"Photo by Ernest Ankomah Frimpong via Wikimedia Commons (CC BY-SA 4.0)","Thin chain necklace; modern fashion; bright shirt may influence perception."
man_neutral1,man_neutral,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Low-key_photography_-_portrait_of_a_young_man.jpg/1200px-Low-key_photography_-_portrait_of_a_young_man.jpg,Wikimedia Commons,CC BY-SA 4.0,Ponor,"Photo by Ponor via Wikimedia Commons (CC BY-SA 4.0)","No necklace; low-key lighting; neutral facial expression."
man_neutral2,man_neutral,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Portrait_of_old_Sikh_man.jpg/960px-Portrait_of_old_Sikh_man.jpg,Wikimedia Commons,CC BY-SA 4.0,Harjeet Singh Asees,"Photo by Harjeet Singh Asees via Wikimedia Commons (CC BY-SA 4.0)","Elderly man; no necklace; cultural attire (turban) may act as confound."
man_neutral3,man_neutral,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Petar_Vukasinovic.jpg/960px-Petar_Vukasinovic.jpg,Wikimedia Commons,CC BY-SA 4.0,PetarV79,"Photo by PetarV79 via Wikimedia Commons (CC BY-SA 4.0)","Portrait with dark clothing; no necklace; neutral expression."
dog_chain_guard1,dog_chain_guard,https://images.pexels.com/photos/26509903/pexels-photo-26509903.jpeg,Pexels,Pexels License,Phan Cuong,"Photo by Phan Cuong on Pexels.com (free use)","Barking dog chained to gate; strong guard vibe; chain collar visible."
dog_chain_guard2,dog_chain_guard,https://images.pexels.com/photos/7789879/pexels-photo-7789879.jpeg,Pexels,Pexels License,Ivan Babydov,"Photo by Ivan Babydov on Pexels.com (free use)","Black dog with chain collar in snowy environment; alert posture; moderate guard vibe."
dog_chain_guard3,dog_chain_guard,https://images.pexels.com/photos/26509926/pexels-photo-26509926.jpeg,Pexels,Pexels License,Phan Cuong,"Photo by Phan Cuong on Pexels.com (free use)","Energetic dog on chain in urban setting; playful yet restrained."
dog_neutral1,dog_neutral,https://images.pexels.com/photos/29357138/pexels-photo-29357138.jpeg,Pexels,Pexels License,Tomris,"Photo by Tomris on Pexels.com (free use)","Calm dog outdoors with no chain; serene posture."
dog_neutral2,dog_neutral,https://images.pexels.com/photos/32098784/pexels-photo-32098784.jpeg,Pexels,Pexels License,Hardial Singh,"Photo by Hardial Singh on Pexels.com (free use)","Dog resting on grass in park; no chain; relaxed demeanor."
dog_neutral3,dog_neutral,https://images.pexels.com/photos/30673846/pexels-photo-30673846.jpeg,Pexels,Pexels License,Reelssman,"Photo by Reelssman on Pexels.com (free use)","Black dog lying on ground outdoors; no chain; peaceful expression."
