id,prompt1,prompt2,prompt3,prompt4,prompt5,prompt6,prompt7,prompt8
man_chain1,0.2469714,0.25195655,0.21585318,0.20712924,0.20675263,0.16604483,0.16507463,0.15309162
man_chain2,0.27366224,0.2633434,0.2155883,0.21222655,0.21043447,0.1911896,0.1737343,0.16290879
man_chain3,0.23103927,0.24611089,0.22629686,0.21893989,0.22807884,0.16195698,0.15500249,0.16668764
man_neutral1,0.23232272,0.25106478,0.20703468,0.2315033,0.224951,0.18799269,0.2004064,0.1779423
man_neutral2,0.22167942,0.21274228,0.20755823,0.22913711,0.22558108,0.18723989,0.18964237,0.20820493
man_neutral3,0.24290726,0.24275193,0.21795306,0.22331733,0.23232618,0.15599757,0.1784353,0.15968883
dog_chain_guard1,0.21879631,0.22072002,0.18785554,0.21457505,0.20245582,0.27171284,0.2896959,0.25712892
dog_chain_guard2,0.26910675,0.24884701,0.19948143,0.21650305,0.21624458,0.30325955,0.30071887,0.27161032
dog_chain_guard3,0.21612734,0.20965931,0.18509996,0.20684795,0.2109258,0.25849646,0.2899892,0.271532
dog_neutral1,0.20195882,0.18688181,0.18428683,0.20170124,0.20606168,0.2484376,0.25997192,0.28009364
dog_neutral2,0.20423526,0.1900392,0.19844614,0.20815071,0.2080607,0.2702854,0.25541893,0.2932845
dog_neutral3,0.18424875,0.17774537,0.19602875,0.20479526,0.19222933,0.26995352,0.24959314,0.27819753
